#Year,Month,Port1,Port2,Route,$Value,$Real
2019,6,Darwin,Sydney,Darwin - Sydney,534,623.7752613
2014,6,Melbourne,Gold Coast,Melbourne - Gold Coast,165.9,210.0773371
2018,3,Brisbane,Mackay,Brisbane - Mackay,294,350.1367673
2018,9,Brisbane,Hobart,Brisbane - Hobart,388,458.4211454
2014,3,Canberra,Sydney,Canberra - Sydney,230,292.6280835
2014,8,Launceston,Sydney,Launceston - Sydney,118,148.7199248
2022,10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,871,892.9747706
2018,5,Cairns,Townsville,Cairns - Townsville,283,335.8433628
2020,8,Bundaberg,Brisbane,Bundaberg - Brisbane,222,256.1979346
2017,2,Hobart,Melbourne,Hobart - Melbourne,128,155.3375566
2013,7,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,169.9,219.0729808
2023,4,Canberra,Melbourne,Canberra - Melbourne,150,150
2014,4,Coffs Harbour,Sydney,Coffs Harbour - Sydney,125.9,159.425779
2021,11,Gold Coast,Sydney,Gold Coast - Sydney,174,192.3610882
2020,11,Sunshine Coast,Sydney,Sunshine Coast - Sydney,153,175.0622867
2017,2,Port Macquarie,Sydney,Port Macquarie - Sydney,238,288.8307692
2022,1,Port Macquarie,Sydney,Port Macquarie - Sydney,198,214.3002421
2014,9,Ayers Rock,Sydney,Ayers Rock - Sydney,563,709.5704887
2018,2,Ballina,Sydney,Ballina - Sydney,164,195.3143872
2016,11,Perth,Sydney,Perth - Sydney,368,448.6254545
2018,1,Launceston,Melbourne,Launceston - Melbourne,118,140.5310835
2013,7,Brisbane,Moranbah,Brisbane - Moranbah,299,385.5375
2013,5,Hobart,Melbourne,Hobart - Melbourne,98,127.8385214
2015,11,Brisbane,Gladstone,Brisbane - Gladstone,252,311.7453875
2018,8,Adelaide,Darwin,Adelaide - Darwin,348,411.1612335
2016,7,Hobart,Sydney,Hobart - Sydney,194,237.8007313
2023,6,Brisbane,Cairns,Brisbane - Cairns,347,347
2018,9,Brisbane,Canberra,Brisbane - Canberra,418,493.8660793
2018,8,Broome,Perth,Broome - Perth,658.86,778.4416388
2019,10,Perth,Sydney,Perth - Sydney,419.9,484.5833907
2019,4,Cairns,Melbourne,Cairns - Melbourne,453.9,530.2089721
2020,10,Melbourne,Townsville,Melbourne - Townsville,260,297.4914676
2018,9,Devonport,Melbourne,Devonport - Melbourne,359,424.1577093
2022,3,Melbourne,Townsville,Melbourne - Townsville,531,574.7142857
2019,8,Adelaide,Melbourne,Adelaide - Melbourne,99.9,116.0883016
2017,9,Cairns,Melbourne,Cairns - Melbourne,438,527.2513465
2010,10,Gold Coast,Sydney,Gold Coast - Sydney,97.9,135.4839009
2019,12,Melbourne,Sydney,Melbourne - Sydney,256,295.4354561
2019,1,Paraburdoo,Perth,Paraburdoo - Perth,839,986.063979
2020,12,Paraburdoo,Perth,Paraburdoo - Perth,729,834.1203072
2018,10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,444,521.826468
2022,2,Devonport,Melbourne,Devonport - Melbourne,356,385.3075061
2010,8,Brisbane,Darwin,Brisbane - Darwin,358,497.4901554
2014,11,Brisbane,Darwin,Brisbane - Darwin,470,591.2476548
2017,6,Sydney,Townsville,Sydney - Townsville,418,506.3577236
2022,4,Adelaide,Brisbane,Adelaide - Brisbane,178,189.2926249
2014,12,Adelaide,Perth,Adelaide - Perth,428,538.412758
2013,10,Coffs Harbour,Sydney,Coffs Harbour - Sydney,89.9,115.0342557
2016,8,Brisbane,Townsville,Brisbane - Townsville,238,291.7349177
2015,8,Ballina,Sydney,Ballina - Sydney,120,149
2017,12,Sydney,Tamworth,Sydney - Tamworth,258,308.6333631
2015,2,Cairns,Melbourne,Cairns - Melbourne,274,344.0393258
2019,6,Cairns,Sydney,Cairns - Sydney,323.9,378.3535714
2023,2,Ayers Rock,Sydney,Ayers Rock - Sydney,652,659.3755656
2018,9,Adelaide,Gold Coast,Adelaide - Gold Coast,526,621.4678414
2015,8,Bundaberg,Brisbane,Bundaberg - Brisbane,230,285.5833333
2011,3,Canberra,Sydney,Canberra - Sydney,154,210.0854527
2013,2,Brisbane,Melbourne,Brisbane - Melbourne,179.9,235.5916992
2017,9,Melbourne,Sydney,Melbourne - Sydney,158,190.1956912
2017,8,Paraburdoo,Perth,Paraburdoo - Perth,675,812.5448833
2014,10,Bundaberg,Brisbane,Bundaberg - Brisbane,264,332.1050657
2017,7,Coffs Harbour,Sydney,Coffs Harbour - Sydney,104,125.1921005
2015,7,Cairns,Sydney,Cairns - Sydney,284,352.6333333
2017,6,Canberra,Sydney,Canberra - Sydney,230.02,278.6421138
2011,6,Port Macquarie,Sydney,Port Macquarie - Sydney,210,283.8810484
2011,9,Hobart,Sydney,Hobart - Sydney,258,346.6713427
2012,5,Bundaberg,Brisbane,Bundaberg - Brisbane,336,448.7808765
2012,6,Paraburdoo,Perth,Paraburdoo - Perth,823,1099.246016
2011,9,Devonport,Melbourne,Devonport - Melbourne,397,533.4438878
2023,2,Brisbane,Hobart,Brisbane - Hobart,450,455.0904977
2011,4,Ballina,Sydney,Ballina - Sydney,208,281.1774194
2022,10,Albury,Sydney,Albury - Sydney,363,372.1582569
2021,6,Brisbane,Emerald,Brisbane - Emerald,310,349.9242424
2013,7,Hamilton Island,Sydney,Hamilton Island - Sydney,278,358.4596154
2010,2,Brisbane,Hobart,Brisbane - Hobart,508,715.5756303
2014,3,Devonport,Melbourne,Devonport - Melbourne,335,426.2191651
2013,10,Brisbane,Rockhampton,Brisbane - Rockhampton,172,220.0877863
2012,1,Alice Springs,Darwin,Alice Springs - Darwin,498,668.4864865
2013,2,Sydney,Wagga Wagga,Sydney - Wagga Wagga,228.12,298.7391797
2013,1,Devonport,Melbourne,Devonport - Melbourne,317,415.1337891
2017,6,Ayers Rock,Sydney,Ayers Rock - Sydney,564,683.2195122
2023,2,Cairns,Gold Coast,Cairns - Gold Coast,372,376.2081448
2015,7,Brisbane,Townsville,Brisbane - Townsville,238,295.5166667
2019,8,Newcastle,Gold Coast,Newcastle - Gold Coast,165,191.737435
2021,6,Devonport,Melbourne,Devonport - Melbourne,379,427.8106061
2013,1,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,338,442.6347656
2022,7,Gold Coast,Sydney,Gold Coast - Sydney,112,116.9719626
2011,7,Avalon,Brisbane,Avalon - Brisbane,138,185.4288577
2016,8,Brisbane,Hamilton Island,Brisbane - Hamilton Island,270,330.9597806
2010,11,Brisbane,Mount Isa,Brisbane - Mount Isa,613,848.3312693
2011,5,Sunshine Coast,Sydney,Sunshine Coast - Sydney,79.9,108.0099798
2016,4,Sydney,Wagga Wagga,Sydney - Wagga Wagga,264.09,326.1000829
2017,3,Canberra,Sydney,Canberra - Sydney,270,327.6651584
2019,12,Brisbane,Darwin,Brisbane - Darwin,275,317.3623064
2010,3,Melbourne,Gold Coast,Melbourne - Gold Coast,186,262.0021008
2017,12,Newcastle,Gold Coast,Newcastle - Gold Coast,224,267.9607493
2013,5,Adelaide,Darwin,Adelaide - Darwin,498,649.6284047
2020,2,Canberra,Sydney,Canberra - Sydney,318.02,365.7502744
2011,6,Adelaide,Canberra,Adelaide - Canberra,324,437.9879032
2011,7,Brisbane,Hamilton Island,Brisbane - Hamilton Island,168,225.739479
2019,2,Perth,Newman,Perth - Newman,538,632.3032428
2011,1,Perth,Newman,Perth - Newman,378,515.664293
2018,7,Brisbane,Newcastle,Brisbane - Newcastle,134,158.3207048
2015,2,Perth,Sydney,Perth - Sydney,390,489.6910112
2022,2,Adelaide,Alice Springs,Adelaide - Alice Springs,398,430.7651332
2018,4,Cairns,Melbourne,Cairns - Melbourne,169.9,201.6246903
2022,6,Melbourne,Newcastle,Melbourne - Newcastle,203,215.8786677
2022,11,Avalon,Gold Coast,Avalon - Gold Coast,489,501.337156
2015,2,Ayers Rock,Sydney,Ayers Rock - Sydney,588,738.3033708
2010,12,Launceston,Sydney,Launceston - Sydney,218,301.6904025
